event_sun,date_2024,date_2025,date_2026
Winter Solstice,2024-12-21,2025-12-21,2026-12-21
Summer Solstice,2024-06-21,2025-06-24,2026-06-21
Fall Equanox,2024-09-22,2025-09-22,2026-09-22
Spring Equanox,2024-03-19,2025-03-20,2026-03-20
